x=(-3.000000,2.000000 ), f(x)=150.900000
x=(0.569420,-0.103013 ), f(x)=0.986890
x=(0.569420,-0.103013 ), f(x)=0.986890
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.304769,-0.807262 ), f(x)=-0.308267
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.128424,-0.665683 ), f(x)=-0.836174
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.062482,-0.786531 ), f(x)=-0.878980
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.043538,-0.712586 ), f(x)=-0.961159
x=(-0.037844,-0.722033 ), f(x)=-0.965131
x=(-0.037844,-0.722033 ), f(x)=-0.965131
x=(-0.037844,-0.722033 ), f(x)=-0.965131
x=(-0.008397,-0.736736 ), f(x)=-0.986211
x=(0.025901,-0.744984 ), f(x)=-1.004513
x=(0.025901,-0.744984 ), f(x)=-1.004513
x=(0.055274,-0.714465 ), f(x)=-1.026853
x=(0.055274,-0.714465 ), f(x)=-1.026853
x=(0.082386,-0.716027 ), f(x)=-1.031293
x=(0.082386,-0.716027 ), f(x)=-1.031293
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.081102,-0.713954 ), f(x)=-1.031305
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.088797,-0.709006 ), f(x)=-1.031519
x=(0.089205,-0.715294 ), f(x)=-1.031568
x=(0.089205,-0.715294 ), f(x)=-1.031568
x=(0.089205,-0.715294 ), f(x)=-1.031568
x=(0.093068,-0.713204 ), f(x)=-1.031587
x=(0.093068,-0.713204 ), f(x)=-1.031587
x=(0.093068,-0.713204 ), f(x)=-1.031587
x=(0.093068,-0.713204 ), f(x)=-1.031587
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.092251,-0.711540 ), f(x)=-1.031593
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090221,-0.712374 ), f(x)=-1.031627
x=(0.090353,-0.712542 ), f(x)=-1.031627
x=(0.090353,-0.712542 ), f(x)=-1.031627
x=(0.090353,-0.712542 ), f(x)=-1.031627
x=(0.090353,-0.712542 ), f(x)=-1.031627
x=(0.089974,-0.712928 ), f(x)=-1.031628
x=(0.089974,-0.712928 ), f(x)=-1.031628
x=(0.089974,-0.712928 ), f(x)=-1.031628
x=(0.089974,-0.712928 ), f(x)=-1.031628
x=(0.089550,-0.712625 ), f(x)=-1.031628
x=(0.089550,-0.712625 ), f(x)=-1.031628
x=(0.089550,-0.712625 ), f(x)=-1.031628
