x=(1.000000,1.500000 ), f(x)=14.983333
x=(-1.384279,-0.928409 ), f(x)=3.108466
x=(-1.384279,-0.928409 ), f(x)=3.108466
x=(-1.585175,-0.153606 ), f(x)=2.231545
x=(0.696088,-0.203444 ), f(x)=1.182721
x=(0.696088,-0.203444 ), f(x)=1.182721
x=(0.696088,-0.203444 ), f(x)=1.182721
x=(0.696088,-0.203444 ), f(x)=1.182721
x=(-0.721467,0.361879 ), f(x)=0.843794
x=(-0.721467,0.361879 ), f(x)=0.843794
x=(-0.721467,0.361879 ), f(x)=0.843794
x=(-0.299940,0.287944 ), f(x)=-0.047414
x=(-0.341075,0.909156 ), f(x)=-0.446081
x=(-0.341075,0.909156 ), f(x)=-0.446081
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
x=(-0.148308,0.703778 ), f(x)=-1.017319
