x=(-2.204960,1.282083 ), f(x)=9.521502
x=(-2.138249,0.487577 ), f(x)=4.480957
x=(-2.138249,0.487577 ), f(x)=4.480957
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(0.482167,0.446634 ), f(x)=0.397221
x=(-0.430951,0.317815 ), f(x)=0.172398
x=(-0.430951,0.317815 ), f(x)=0.172398
x=(-0.489132,0.691920 ), f(x)=-0.495274
x=(-0.489132,0.691920 ), f(x)=-0.495274
x=(-0.489132,0.691920 ), f(x)=-0.495274
x=(-0.489132,0.691920 ), f(x)=-0.495274
x=(-0.489132,0.691920 ), f(x)=-0.495274
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.202899,0.595229 ), f(x)=-0.874718
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.063096,0.683435 ), f(x)=-1.022897
x=(-0.131887,0.701831 ), f(x)=-1.023398
x=(-0.131887,0.701831 ), f(x)=-1.023398
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.097329,0.694124 ), f(x)=-1.028531
x=(-0.110966,0.706418 ), f(x)=-1.029449
x=(-0.110966,0.706418 ), f(x)=-1.029449
x=(-0.110966,0.706418 ), f(x)=-1.029449
x=(-0.096004,0.724244 ), f(x)=-1.030435
x=(-0.096004,0.724244 ), f(x)=-1.030435
x=(-0.096004,0.724244 ), f(x)=-1.030435
x=(-0.096004,0.724244 ), f(x)=-1.030435
x=(-0.086698,0.714801 ), f(x)=-1.031545
x=(-0.086698,0.714801 ), f(x)=-1.031545
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.089194,0.713389 ), f(x)=-1.031622
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090611,0.712266 ), f(x)=-1.031625
x=(-0.090161,0.712289 ), f(x)=-1.031627
x=(-0.090161,0.712289 ), f(x)=-1.031627
x=(-0.090161,0.712289 ), f(x)=-1.031627
x=(-0.090161,0.712289 ), f(x)=-1.031627
x=(-0.090161,0.712289 ), f(x)=-1.031627
x=(-0.090038,0.712960 ), f(x)=-1.031628
x=(-0.090055,0.712729 ), f(x)=-1.031628
x=(-0.090055,0.712729 ), f(x)=-1.031628
x=(-0.090055,0.712729 ), f(x)=-1.031628
x=(-0.090055,0.712729 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089794,0.712620 ), f(x)=-1.031628
x=(-0.089782,0.712667 ), f(x)=-1.031628
x=(-0.089782,0.712667 ), f(x)=-1.031628
x=(-0.089782,0.712667 ), f(x)=-1.031628
x=(-0.089782,0.712667 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089816,0.712628 ), f(x)=-1.031628
