x=(0.935050,-0.125531 ), f(x)=1.935334
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.250629,-0.222123 ), f(x)=0.111110
x=(-0.000864,0.252399 ), f(x)=-0.238803
x=(-0.000864,0.252399 ), f(x)=-0.238803
x=(-0.000864,0.252399 ), f(x)=-0.238803
x=(-0.000864,0.252399 ), f(x)=-0.238803
x=(-0.000864,0.252399 ), f(x)=-0.238803
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.263509,0.825075 ), f(x)=-0.818998
x=(-0.048691,0.650438 ), f(x)=-0.998526
x=(-0.048691,0.650438 ), f(x)=-0.998526
x=(-0.048691,0.650438 ), f(x)=-0.998526
x=(-0.048691,0.650438 ), f(x)=-0.998526
x=(-0.048691,0.650438 ), f(x)=-0.998526
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096735,0.669919 ), f(x)=-1.017068
x=(-0.096950,0.700281 ), f(x)=-1.030111
x=(-0.079854,0.703170 ), f(x)=-1.030606
x=(-0.079854,0.703170 ), f(x)=-1.030606
x=(-0.079854,0.703170 ), f(x)=-1.030606
x=(-0.079854,0.703170 ), f(x)=-1.030606
x=(-0.079854,0.703170 ), f(x)=-1.030606
x=(-0.099045,0.719114 ), f(x)=-1.031014
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.085073,0.712234 ), f(x)=-1.031540
