x=(-2.635672,-0.788802 ), f(x)=39.329612
x=(-2.577200,-0.804087 ), f(x)=32.754680
x=(-2.577200,-0.804087 ), f(x)=32.754680
x=(1.625739,-0.884805 ), f(x)=-0.061644
x=(1.625739,-0.884805 ), f(x)=-0.061644
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(-0.023095,0.204291 ), f(x)=-0.162557
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(0.216064,-0.910056 ), f(x)=-0.583573
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(-0.147601,-0.740601 ), f(x)=-0.795130
x=(0.098295,-0.860614 ), f(x)=-0.814481
x=(0.098295,-0.860614 ), f(x)=-0.814481
x=(0.098295,-0.860614 ), f(x)=-0.814481
x=(0.098295,-0.860614 ), f(x)=-0.814481
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.120446,-0.687850 ), f(x)=-0.856677
x=(-0.064706,-0.687765 ), f(x)=-0.935876
x=(-0.064706,-0.687765 ), f(x)=-0.935876
