x=(0.751256,1.530882 ), f(x)=15.394068
x=(-1.727160,-0.892811 ), f(x)=2.988618
x=(-1.727160,-0.892811 ), f(x)=2.988618
x=(0.690754,-0.952788 ), f(x)=0.473755
x=(0.690754,-0.952788 ), f(x)=0.473755
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(0.072790,-0.121375 ), f(x)=-0.045759
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(-0.067958,-0.708936 ), f(x)=-0.933367
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033756,-0.766431 ), f(x)=-0.990750
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.033985,-0.752212 ), f(x)=-1.003616
x=(0.023151,-0.712177 ), f(x)=-1.014137
x=(0.023151,-0.712177 ), f(x)=-1.014137
x=(0.023151,-0.712177 ), f(x)=-1.014137
x=(0.023151,-0.712177 ), f(x)=-1.014137
x=(0.038164,-0.697100 ), f(x)=-1.019993
x=(0.038164,-0.697100 ), f(x)=-1.019993
x=(0.038164,-0.697100 ), f(x)=-1.019993
x=(0.038164,-0.697100 ), f(x)=-1.019993
x=(0.038164,-0.697100 ), f(x)=-1.019993
x=(0.046665,-0.688210 ), f(x)=-1.020634
x=(0.041053,-0.708091 ), f(x)=-1.022326
x=(0.057438,-0.698669 ), f(x)=-1.026394
x=(0.057438,-0.698669 ), f(x)=-1.026394
x=(0.057438,-0.698669 ), f(x)=-1.026394
x=(0.063474,-0.723779 ), f(x)=-1.027583
x=(0.063474,-0.723779 ), f(x)=-1.027583
x=(0.074978,-0.716190 ), f(x)=-1.030609
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.093833,-0.712177 ), f(x)=-1.031563
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
x=(0.090370,-0.713677 ), f(x)=-1.031619
